***SESSION HEADER***
{
  "Participant": "NEO",
  "Timestamp": "11-04-18-05-09-2021"
}
---SESSION HEADER---
Time;Position; Rotation.X; Rotation.Y;FPS; Input;
39862.6341;(-23.1869, 1.0250, 0.0023);118.6000;9.3000;60.0059;;
39862.6680;(-23.1869, 1.0250, 0.0023);118.6000;9.3000;60.0396;;
39862.6840;(-23.1869, 1.0250, 0.0023);118.6000;9.3000;60.0107;;
39862.7010;(-23.1869, 1.0250, 0.0023);118.6000;9.3000;60.0712;;
39862.7170;(-23.1869, 1.0250, 0.0023);118.6000;9.3000;59.9888;;
39862.7340;(-23.1869, 1.0250, 0.0023);118.6000;9.3000;60.0400;;
39862.7680;(-23.1869, 1.0250, 0.0023);118.6000;9.3000;59.9907;;
39862.7840;(-23.1870, 1.0250, 0.0023);118.6000;9.3000;60.0044;;
39862.8010;(-23.1870, 1.0250, 0.0023);118.6000;9.3000;60.0042;;
39862.8181;(-23.1870, 1.0250, 0.0023);118.6000;9.3000;59.9731;;
39862.8341;(-23.1870, 1.0250, 0.0023);118.6000;9.3000;60.0055;;
39862.8681;(-23.1870, 1.0250, 0.0023);118.6000;9.3000;60.0190;;
39862.8841;(-23.1870, 1.0250, 0.0023);118.6000;9.3000;59.9237;;
39862.9011;(-23.1870, 1.0250, 0.0023);118.6000;9.3000;60.0338;;
39862.9171;(-23.1870, 1.0250, 0.0023);118.6000;9.3000;60.0071;;
39862.9341;(-23.1870, 1.0250, 0.0023);118.6000;9.3000;60.0132;;
39862.9681;(-23.1871, 1.0250, 0.0023);118.6000;9.3000;60.0219;;
39862.9841;(-23.1871, 1.0250, 0.0023);118.6000;9.3000;59.9818;;
39863.0011;(-23.1871, 1.0250, 0.0023);118.6000;9.3000;60.0063;;
39863.0171;(-23.1871, 1.0250, 0.0023);118.6000;9.3000;59.9768;;
39863.0342;(-23.1871, 1.0250, 0.0023);118.6000;9.3000;60.0092;;
39863.0672;(-23.1871, 1.0250, 0.0023);118.6000;9.3000;60.0267;;
39863.0842;(-23.1871, 1.0250, 0.0023);118.6000;9.3000;59.9882;;
39863.1012;(-23.1871, 1.0250, 0.0023);118.6000;9.3000;60.0280;;
39863.1172;(-23.1871, 1.0250, 0.0023);118.6000;9.3000;60.0077;;
39863.1342;(-23.1871, 1.0250, 0.0023);118.6000;9.3000;59.9915;;
39863.1680;(-23.1872, 1.0250, 0.0023);118.6000;9.3000;59.9943;;
39863.1840;(-23.1872, 1.0250, 0.0023);118.6000;9.3000;59.9618;;
39863.2010;(-23.1872, 1.0250, 0.0023);118.6000;9.3000;60.0071;;
39863.2180;(-23.1872, 1.0250, 0.0024);118.6000;9.3000;59.9599;;
39863.2340;(-23.1872, 1.0250, 0.0024);118.6000;9.3000;59.9795;;
39863.2681;(-23.1872, 1.0250, 0.0024);118.6000;9.3000;60.0531;;
39863.2841;(-23.1872, 1.0250, 0.0024);118.6000;9.3000;59.9868;;
39863.3011;(-23.1872, 1.0250, 0.0024);118.6000;9.3000;59.9951;;
39863.3181;(-23.1872, 1.0250, 0.0024);118.6000;9.3000;60.0181;;
39863.3341;(-23.1873, 1.0250, 0.0024);118.6000;9.3000;59.9994;;
39863.3681;(-23.1873, 1.0250, 0.0024);118.6000;9.3000;60.0102;;
39863.3840;(-23.1873, 1.0250, 0.0024);118.6000;9.3000;59.9766;;
39863.4010;(-23.1873, 1.0250, 0.0024);118.6000;9.3000;60.0542;;
39863.4171;(-23.1873, 1.0250, 0.0024);118.6000;9.3000;59.9863;;
39863.4341;(-23.1873, 1.0250, 0.0024);118.6000;9.3000;60.0282;;
39863.4681;(-23.1873, 1.0250, 0.0024);118.6000;9.3000;59.9967;;
39863.4841;(-23.1873, 1.0250, 0.0024);118.6000;9.3000;59.9533;;
39863.5011;(-23.1873, 1.0250, 0.0024);118.6000;9.3000;59.9659;;
39863.5181;(-23.1874, 1.0250, 0.0024);118.6000;9.3000;59.9685;;
39863.5341;(-23.1874, 1.0250, 0.0024);118.6000;9.3000;60.0075;;
